id,popularity,budget,revenue,original_title,genres,vote_count,vote_average,release_year
135397,32.985763,150000000,1513528810,Jurassic World,Action|Adventure|Science Fiction|Thriller,5562,6.5,2015
76341,28.419936,150000000,378436354,Mad Max: Fury Road,Action|Adventure|Science Fiction|Thriller,6185,7.1,2015
262500,13.112507,110000000,295238201,Insurgent,Adventure|Science Fiction|Thriller,2480,6.3,2015
140607,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,Action|Adventure|Science Fiction|Fantasy,5292,7.5,2015
168259,9.335014,190000000,1506249360,Furious 7,Action|Crime|Thriller,2947,7.3,2015
281957,9.1107,135000000,532950503,The Revenant,Western|Drama|Adventure|Thriller,3929,7.2,2015
87101,8.654359,155000000,440603537,Terminator Genisys,Science Fiction|Action|Thriller|Adventure,2598,5.8,2015
286217,7.6674,108000000,595380321,The Martian,Drama|Adventure|Science Fiction,4572,7.6,2015
211672,7.40416499999999,74000000,1156730962,Minions,Family|Animation|Adventure|Comedy,2893,6.5,2015
150540,6.326804,175000000,853708609,Inside Out,Comedy|Animation|Family,3935,8.0,2015
206647,6.200282,245000000,880674609,Spectre,Action|Adventure|Crime,3254,6.2,2015
76757,6.189369,176000003,183987723,Jupiter Ascending,Science Fiction|Fantasy|Action|Adventure,1937,5.2,2015
264660,6.118847,15000000,36869414,Ex Machina,Drama|Science Fiction,2854,7.6,2015
257344,5.984995,88000000,243637091,Pixels,Action|Comedy|Science Fiction,1575,5.8,2015
99861,5.944927,280000000,1405035767,Avengers: Age of Ultron,Action|Adventure|Science Fiction,4304,7.4,2015
273248,5.8984,44000000,155760117,The Hateful Eight,Crime|Drama|Mystery|Western,2389,7.4,2015
260346,5.749758,48000000,325771424,Taken 3,Crime|Action|Thriller,1578,6.1,2015
102899,5.5731839999999995,130000000,518602163,Ant-Man,Science Fiction|Action|Adventure,3779,7.0,2015
150689,5.556818,95000000,542351353,Cinderella,Romance|Fantasy|Family|Drama,1495,6.8,2015
131634,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,War|Adventure|Science Fiction,2380,6.5,2015
158852,5.4621379999999995,190000000,209035668,Tomorrowland,Action|Family|Science Fiction|Adventure|Mystery,1899,6.2,2015
307081,5.337064,30000000,91709827,Southpaw,Action|Drama,1386,7.3,2015
254128,4.907832,110000000,470490832,San Andreas,Action|Drama|Thriller,2060,6.1,2015
216015,4.71040199999999,40000000,569651467,Fifty Shades of Grey,Drama|Romance,1865,5.3,2015
318846,4.648046,28000000,133346506,The Big Short,Comedy|Drama,1545,7.3,2015
177677,4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,Action,2349,7.1,2015
214756,4.5645489999999995,68000000,215863606,Ted 2,Comedy,1666,6.3,2015
207703,4.503789,81000000,403802136,Kingsman: The Secret Service,Crime|Comedy|Action|Adventure,3833,7.6,2015
314365,4.062293,20000000,88346473,Spotlight,Drama|Thriller|History,1559,7.8,2015
294254,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,Action|Science Fiction|Thriller,1849,6.4,2015
280996,3.927333,0,29355203,Mr. Holmes,Mystery|Drama,425,6.4,2015
198184,3.899557,49000000,102069268,Chappie,Crime|Action|Science Fiction,1990,6.6,2015
254470,3.877764,29000000,287506194,Pitch Perfect 2,Comedy|Music,1264,6.8,2015
296098,3.6482099999999997,40000000,162610473,Bridge of Spies,Thriller|Drama,1638,7.1,2015
257445,3.6445410000000003,58000000,150170815,Goosebumps,Adventure|Horror|Comedy,600,6.2,2015
264644,3.557846,6000000,35401758,Room,Drama|Thriller,1520,8.0,2015
339527,3.358321,0,22354572,Solace,Crime|Drama|Mystery,474,6.2,2015
105864,3.3391349999999997,175000000,331926147,The Good Dinosaur,Adventure|Animation|Comedy|Family|Fantasy,1087,6.6,2015
241554,3.23737,50000000,71561644,Run All Night,Action|Crime|Drama|Mystery|Thriller,814,6.3,2015
167073,3.227329,11000000,62076141,Brooklyn,Drama|Romance,754,7.3,2015
277216,3.2027189999999996,28000000,201634991,Straight Outta Compton,Drama|Music,918,7.7,2015
274854,3.080505,90000000,140396650,The Last Witch Hunter,Fantasy|Action|Adventure,879,5.6,2015
321697,3.0795220000000003,30000000,34441873,Steve Jobs,History|Drama,1035,6.9,2015
